1,62,82,60,17,62,2,75,71,30,21
1,78,91,94,50,88,19,88,9,96,38
1,28,99,27,79,39,88,26,68,15,15
1,60,58,95,63,56,37,57,48,24,49
1,91,58,51,3,84,49,83,46,38,62
1,68,55,35,1,76,47,5,75,90,82
1,1,81,92,90,3,7,89,17,61,52
1,37,75,34,30,87,38,31,58,79,79
1,46,71,59,27,11,18,97,62,14,76
1,45,57,43,46,57,31,86,5,29,32
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,
Cost:,,,,,,,,,,
2.302585,,,,,,,,,,
,temp_parameter:,1,,,,,,,,
1,,,,,,,,,,
,lambda_factor:,0.0001,,,,,,,,
0.0001,,,,,,,,,,
